,masses,Exclusive_pelagic_soaring,Soaring_over_land,Wing_propelled_diving,Sallying_flight,Aerial_pursuit_hunting,Cluttered_flight,Migratory_flight,Escape_burst_flight,Flap_bounding,Flap_gliding,Hovering,Source
Heliornis_fulica,608.5,0,0,0,0,0,1,0,0,0,0,0,Limited information. Birds of the World states that this bird will climb vegetation rather than fly over it. 
Hemiprocne_comata,22.225,0,0,0,1,1,1,0,0,0,1,1,Momentary hovering recorded in Birds of the World
Hirundinea_ferruginea,31.6,0,0,0,1,0,1,1,0,1,0,0,Small passerine; passerine type flight assumed.
Hymenops_perspicillatus,20.1,0,0,0,1,0,1,1,0,1,0,0,Small passerine; passerine type flight assumed.
Indicator_exilis,17.5,0,0,0,1,0,1,0,0,1,0,0,This is a very small piciform bird. I cannot find much content. Videos show possible hovering before entering nest.
Ixobrychus_minutus,104.5,0,0,0,0,0,1,1,0,0,0,0,Videos of bitterns in flight show continuous flapping. 
Jacana_jacana,119.75,0,0,0,0,0,0,1,0,0,0,0,Assumption 
Jynx_torquilla,40,0,0,0,1,0,1,1,0,1,0,0,"Bruderer et al., 2010"
Leptoptilos_crumeniferus,6450,0,1,0,0,0,0,0,0,0,0,0,"Close et al., 2012; Leptoptilos dubius"
Leptotila_rufaxilla,149,0,0,0,0,0,1,0,0,0,1,0,Assumption similar to other columbiform birds
Limosa_lapponica,370.5,0,0,0,0,0,0,1,0,0,0,0,"Close et al., 2012"
Malurus_splendens,7,0,0,0,1,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Megalaima_chrysopogon,162.5,0,0,0,0,0,1,0,0,1,0,0,Assumption based on piciform identity.
Melanopareia_maximiliani,19,0,0,0,0,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Menura_novaehollandiae,995,0,0,0,0,0,1,0,0,0,0,0,"Close et al., 2012 list this bird as a ‘Poor Flier’"
Micrastur_gilvicollis,212.5,0,0,0,1,0,1,0,0,0,1,0,Assumption that flight is similar to other falcons. 
Momotus_lessonii,140,0,0,0,1,0,1,0,0,0,0,0,"Close et al., 2012: Momotas momota"
